#If you recreated this, remember to remove the last ',' in the file
INSERT INTO DISTRIBUTE(DISTRIBUTOR_NAME, COMPANY_NAME, SERIAL_CODE, DAYS_UNTIL_DELIVERY)VALUES 
( 'AAH Pharmaceuticals Ltd', 'Bayer', '202302558', '28' ),
( 'AAH Pharmaceuticals Ltd', 'Bayer', '202336396', '20' ),
( 'AAH Pharmaceuticals Ltd', 'Bayer', '202360181', '30' ),
( 'AAH Pharmaceuticals Ltd', 'Bayer', '202350691', '30' ),
( 'AAH Pharmaceuticals Ltd', 'Bayer', '202304327', '8' ),
( 'AAH Pharmaceuticals Ltd', 'Bayer', '202323943', '27' ),
( 'AAH Pharmaceuticals Ltd', 'Bayer', '202364741', '12' ),
( 'AAH Pharmaceuticals Ltd', 'Bayer', '202380166', '9' ),
( 'AAH Pharmaceuticals Ltd', 'Bayer', '202394530', '24' ),
( 'AAH Pharmaceuticals Ltd', 'Bayer', '202351891', '25' ),
( 'AAH Pharmaceuticals Ltd', 'Bayer', '202399444', '5' ),
( 'Alfresa holdings', 'Bayer', '202303981', '24' ),
( 'Alfresa holdings', 'Bayer', '202387012', '13' ),
( 'Alfresa holdings', 'Bayer', '202302512', '21' ),
( 'Alfresa holdings', 'Bayer', '202334290', '20' ),
( 'Alfresa holdings', 'Bayer', '202339120', '28' ),
( 'Alfresa holdings', 'Bayer', '202350543', '15' ),
( 'Alfresa holdings', 'Bayer', '202341424', '26' ),
( 'Alfresa holdings', 'Bayer', '202308619', '27' ),
( 'Alfresa holdings', 'Bayer', '202306315', '2' ),
( 'Alfresa holdings', 'Bayer', '202354426', '28' ),
( 'Alfresa holdings', 'Bayer', '202325864', '2' ),
( 'AmerisourceBergen Corp', 'Bayer', '202312252', '17' ),
( 'AmerisourceBergen Corp', 'Bayer', '202397772', '5' ),
( 'AmerisourceBergen Corp', 'Bayer', '202341262', '4' ),
( 'AmerisourceBergen Corp', 'Bayer', '202349653', '13' ),
( 'AmerisourceBergen Corp', 'Bayer', '202348343', '2' ),
( 'AmerisourceBergen Corp', 'Bayer', '202341091', '16' ),
